"Direccion IP","Pais de la IP",Servidor,Count
"104.248.40.189",Germany,"ARL-PROXY-P01",114
"10.255.21.10","IP Local","USL-SVSFTP-P01",60
"10.255.65.64","IP Local","USL-SVSFTP-P01",53
"10.255.40.104","IP Local","USL-SVSFTP-P01",32
"10.255.25.1","IP Local","USL-SVSFTP-P01",26
"172.188.34.144","United Kingdom","ARL-PROXY-P01",18
"74.73.241.225","United States","ARL-PROXY-P01",18
"10.255.27.5","IP Local","USL-SVSFTP-P01",17
"138.19.126.103","Hong Kong","ARL-PROXY-P01",15
"178.128.161.183","United Kingdom","ARL-PROXY-P01",15
